-,inicio,varinicio,varfim,;,id,int,real,lit,leia,escreva,literal,num,rcb,opm,se,(,),entao,opr,fimse,fim,$,P',P,V,A,LV,D,TIPO,ES,ARG,CMD,LD,OPRD,COND,CABEÇALHO,CORPO,EXP_R
10,e10,e10,e10,e10,s22,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,e11,e11,e11,e11,s26,e11,e11,e11,e11,e11,s24,s25,e11,e11,e11,e11,e11,e11,e11,e11,e11,e11,-,-,-,-,-,-,-,-,t23,-,-,-,-,-,-,-
12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,s27,e12,e12,e12,e12,e12,e12,e12,e12,e12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,e13,e13,e13,e13,s12,e13,e13,e13,s10,s11,e13,e13,e13,e13,s14,e13,e13,e13,e13,s32,e13,e13,-,-,-,-,-,-,-,t29,-,t30,-,-,t31,t13,t28,-
14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,s33,e14,e14,e14,e14,e14,e14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,r03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,e16,e16,s17,e16,s18,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,-,-,-,-,t34,t16,-,-,-,-,-,-,-,-,-,-
17,e17,e17,e17,s35,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,e18,e18,e18,e18,e18,s37,s38,s39,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,-,-,-,-,-,-,t36,-,-,-,-,-,-,-,-,-
19,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,e22,e22,e22,s40,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,e23,e23,e23,s41,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
